DATE,LREMTTTTAUM156S
1978-02-01,57.1786415
1978-03-01,57.1264655
1978-04-01,57.3347483
1978-05-01,57.2934009
1978-06-01,57.2280338
1978-07-01,57.1322593
1978-08-01,57.1060282
1978-09-01,56.9547753
1978-10-01,56.9503325
1978-11-01,56.8007999
1978-12-01,56.950501
1979-01-01,56.8646516
1979-02-01,56.8783026
1979-03-01,56.704253
1979-04-01,56.7219668
1979-05-01,56.6993574
1979-06-01,56.8736383
1979-07-01,56.792559
1979-08-01,56.879075
1979-09-01,56.815493
1979-10-01,57.0625961
1979-11-01,57.2396728
1979-12-01,57.1741686
1980-01-01,57.2977578
1980-02-01,57.376036
1980-03-01,57.3907979
1980-04-01,57.4344057
1980-05-01,57.5481906
1980-06-01,57.5210322
1980-07-01,57.7310376
1980-08-01,57.7269855
1980-09-01,57.6483101
1980-10-01,57.4550677
1980-11-01,57.5485699
1980-12-01,57.6412035
1981-01-01,57.5971609
1981-02-01,57.6371716
1981-03-01,57.5571404
1981-04-01,57.7283826
1981-05-01,57.6528525
1981-06-01,57.7001031
1981-07-01,57.5813647
1981-08-01,57.6294832
1981-09-01,57.756042
1981-10-01,57.386056
1981-11-01,57.1674288
1981-12-01,57.1808852
1982-01-01,57.4109986
1982-02-01,57.1543083
1982-03-01,56.9881941
1982-04-01,56.9970066
1982-05-01,56.7061841
1982-06-01,56.5066645
1982-07-01,56.4110243
1982-08-01,56.2953198
1982-09-01,56.0706726
1982-10-01,56.0165492
1982-11-01,55.4499212
1982-12-01,54.9404742
1983-01-01,54.8381608
1983-02-01,54.7007904
1983-03-01,54.3169355
1983-04-01,54.0308205
1983-05-01,54.2131135
1983-06-01,54.1901256
1983-07-01,54.1617592
1983-08-01,54.1362469
1983-09-01,54.3469621
1983-10-01,54.2801247
1983-11-01,54.5287806
1983-12-01,54.6706408
1984-01-01,54.5629804
1984-02-01,54.6068749
1984-03-01,55.0023579
1984-04-01,54.9744594
1984-05-01,55.1110493
1984-06-01,55.2177415
1984-07-01,55.2154484
1984-08-01,55.1129504
1984-09-01,55.284577
1984-10-01,55.1722462
1984-11-01,55.2167804
1984-12-01,55.1618068
1985-01-01,55.149962
1985-02-01,55.5863168
1985-03-01,55.2859164
1985-04-01,55.283057
1985-05-01,55.4990617
1985-06-01,55.5336692
1985-07-01,55.6570807
1985-08-01,55.9172739
1985-09-01,56.1936089
1985-10-01,55.9600314
1985-11-01,56.6743005
1985-12-01,56.2961378
1986-01-01,56.5881622
1986-02-01,56.6601286
1986-03-01,56.6450036
1986-04-01,57.106008
1986-05-01,56.9574956
1986-06-01,57.18887
1986-07-01,56.9440494
1986-08-01,56.6987608
1986-09-01,56.8032406
1986-10-01,56.902676
1986-11-01,56.7161031
1986-12-01,56.7467335
1987-01-01,56.6515646
1987-02-01,56.7967634
1987-03-01,56.8066771
1987-04-01,56.8187529
1987-05-01,56.7655312
1987-06-01,56.9533358
1987-07-01,57.2254845
1987-08-01,56.9637158
1987-09-01,56.7772912
1987-10-01,56.9081033
1987-11-01,56.7256991
1987-12-01,57.233966
1988-01-01,57.6139249
1988-02-01,57.3932082
1988-03-01,57.6677198
1988-04-01,57.8035575
1988-05-01,57.578838
1988-06-01,57.6226429
1988-07-01,57.6642648
1988-08-01,57.8120146
1988-09-01,58.0557813
1988-10-01,58.0735636
1988-11-01,58.1386515
1988-12-01,58.2977072
1989-01-01,58.4527358
1989-02-01,58.7671528
1989-03-01,58.8165687
1989-04-01,58.9809165
1989-05-01,59.324669
1989-06-01,59.2333781
1989-07-01,59.337661
1989-08-01,59.5521257
1989-09-01,59.5379003
1989-10-01,59.5106983
1989-11-01,59.8226981
1989-12-01,59.6185889
1990-01-01,59.6087022
1990-02-01,59.5817334
1990-03-01,59.6083975
1990-04-01,59.5701524
1990-05-01,59.7463838
1990-06-01,59.6719397
1990-07-01,59.5890758
1990-08-01,59.2973286
1990-09-01,59.0429449
1990-10-01,58.855065
1990-11-01,58.629674
1990-12-01,58.5743006
1991-01-01,58.0152995
1991-02-01,58.0315273
1991-03-01,57.5426574
1991-04-01,57.4373225
1991-05-01,57.3578547
1991-06-01,57.0324155
1991-07-01,56.7281681
1991-08-01,56.7441263
1991-09-01,56.7336345
1991-10-01,56.4658781
1991-11-01,56.2732796
1991-12-01,56.3677877
1992-01-01,56.410282
1992-02-01,56.4635566
1992-03-01,56.2466845
1992-04-01,56.1560997
1992-05-01,56.0864513
1992-06-01,56.134722
1992-07-01,56.215417
1992-08-01,56.3044867
1992-09-01,55.9959748
1992-10-01,56.0191878
1992-11-01,55.4281615
1992-12-01,55.6059289
1993-01-01,55.9141948
1993-02-01,55.3456339
1993-03-01,55.6404006
1993-04-01,55.4642964
1993-05-01,55.4405448
1993-06-01,55.499951
1993-07-01,55.4623026
1993-08-01,55.5736754
1993-09-01,55.6617211
1993-10-01,55.9711862
1993-11-01,56.0049066
1993-12-01,56.0734472
1994-01-01,56.1485021
1994-02-01,56.2587775
1994-03-01,56.3287133
1994-04-01,56.3096248
1994-05-01,56.5687338
1994-06-01,56.6854719
1994-07-01,57.1491512
1994-08-01,56.9707545
1994-09-01,57.2625828
1994-10-01,57.198015
1994-11-01,57.2400889
1994-12-01,57.5112503
1995-01-01,57.53694
1995-02-01,57.8260893
1995-03-01,57.7749824
1995-04-01,58.1231929
1995-05-01,58.1020511
1995-06-01,58.2849903
1995-07-01,58.2646852
1995-08-01,58.3991594
1995-09-01,58.2458297
1995-10-01,58.1027178
1995-11-01,58.5556563
1995-12-01,58.4920589
1996-01-01,58.4103836
1996-02-01,58.3685089
1996-03-01,58.108128
1996-04-01,58.2530509
1996-05-01,58.232497
1996-06-01,58.1959946
1996-07-01,58.1436694
1996-08-01,58.057621
1996-09-01,57.9248291
1996-10-01,57.9090517
1996-11-01,57.8447935
1996-12-01,57.9475936
1997-01-01,57.9451314
1997-02-01,57.8682286
1997-03-01,57.8128037
1997-04-01,57.7202574
1997-05-01,57.70358
1997-06-01,57.6677014
1997-07-01,57.6873256
1997-08-01,57.5359605
1997-09-01,57.9095572
1997-10-01,57.8099561
1997-11-01,58.1608672
1997-12-01,58.0039474
1998-01-01,57.9704067
1998-02-01,57.9818214
1998-03-01,57.9208897
1998-04-01,58.0976241
1998-05-01,58.038877
1998-06-01,58.1296928
1998-07-01,58.1529166
1998-08-01,58.1730659
1998-09-01,58.4095835
1998-10-01,58.4227774
1998-11-01,58.2114557
1998-12-01,58.3049638
1999-01-01,58.2232853
1999-02-01,58.198384
1999-03-01,58.2980267
1999-04-01,58.2591694
1999-05-01,58.1274017
1999-06-01,58.4218225
1999-07-01,58.4786671
1999-08-01,58.4652512
1999-09-01,58.4890354
1999-10-01,58.6961855
1999-11-01,58.7017665
1999-12-01,58.862477
2000-01-01,58.4576049
2000-02-01,58.7113226
2000-03-01,58.9460115
2000-04-01,59.1372196
2000-05-01,59.0564788
2000-06-01,59.2696328
2000-07-01,59.7460696
2000-08-01,59.6562821
2000-09-01,59.5629336
2000-10-01,59.333191
2000-11-01,58.8906876
2000-12-01,59.0925863
2001-01-01,59.0537194
2001-02-01,58.9492321
2001-03-01,58.9108376
2001-04-01,59.1847875
2001-05-01,59.0798387
2001-06-01,59.0000552
2001-07-01,59.0617157
2001-08-01,59.139938
2001-09-01,58.9433565
2001-10-01,58.9930079
2001-11-01,59.1246523
2001-12-01,58.9687274
2002-01-01,59.0209296
2002-02-01,59.2034023
2002-03-01,59.1548451
2002-04-01,59.0189781
2002-05-01,59.0673277
2002-06-01,59.1829954
2002-07-01,59.1576682
2002-08-01,59.4604713
2002-09-01,59.4081817
2002-10-01,59.3929544
2002-11-01,59.6464816
2002-12-01,59.8494268
2003-01-01,60.0963832
2003-02-01,60.1680964
2003-03-01,59.7812953
2003-04-01,59.7143569
2003-05-01,59.7726562
2003-06-01,59.5700032
2003-07-01,59.4499034
2003-08-01,59.7484675
2003-09-01,59.7384222
2003-10-01,59.8185378
2003-11-01,59.7354682
2003-12-01,59.8618224
2004-01-01,59.7877765
2004-02-01,59.7311928
2004-03-01,59.861458
2004-04-01,59.8736296
2004-05-01,59.9248914
2004-06-01,59.9069474
2004-07-01,59.8912294
2004-08-01,59.8044621
2004-09-01,60.0903227
2004-10-01,60.3559477
2004-11-01,60.5182087
2004-12-01,60.5072368
2005-01-01,60.7305934
2005-02-01,60.8276743
2005-03-01,60.9880653
2005-04-01,61.1704988
2005-05-01,61.0127915
2005-06-01,61.2420093
2005-07-01,61.2553717
2005-08-01,61.4485233
2005-09-01,61.2724762
2005-10-01,61.2188894
2005-11-01,61.2091328
2005-12-01,61.2125793
2006-01-01,61.0999947
2006-02-01,61.2246258
2006-03-01,61.3760108
2006-04-01,61.3603523
2006-05-01,61.4706476
2006-06-01,61.6537823
2006-07-01,61.8706423
2006-08-01,61.8814728
2006-09-01,62.0519441
2006-10-01,61.7843587
2006-11-01,61.8930603
2006-12-01,62.1163231
2007-01-01,61.9563757
2007-02-01,62.0185461
2007-03-01,62.0672938
2007-04-01,62.150761
2007-05-01,62.2734574
2007-06-01,62.3145963
2007-07-01,62.3511154
2007-08-01,62.4750826
2007-09-01,62.5528157
2007-10-01,62.3893164
2007-11-01,62.6287134
2007-12-01,62.6488509
2008-01-01,62.690734
2008-02-01,62.7583433
2008-03-01,62.7383723
2008-04-01,62.8572679
2008-05-01,62.5855724
2008-06-01,62.7871072
2008-07-01,62.7708471
2008-08-01,62.8940202
2008-09-01,62.6844502
2008-10-01,62.6211716
2008-11-01,62.4709633
2008-12-01,62.4013606
2009-01-01,62.286925
2009-02-01,62.2298647
2009-03-01,61.903478
2009-04-01,61.9499152
2009-05-01,61.7361262
2009-06-01,61.545458
2009-07-01,61.698694
2009-08-01,61.5417809
2009-09-01,61.5642179
2009-10-01,61.5412269
2009-11-01,61.6354409
2009-12-01,61.7618568
2010-01-01,61.9432555
2010-02-01,61.749014
2010-03-01,61.6770945
2010-04-01,61.6755022
2010-05-01,61.6142839
2010-06-01,61.851191
2010-07-01,61.9261776
2010-08-01,62.0832028
2010-09-01,62.1673384
2010-10-01,62.1846444
2010-11-01,62.4384291
2010-12-01,62.3965536
2011-01-01,62.4772241
2011-02-01,62.2483801
2011-03-01,62.3723113
2011-04-01,62.1169602
2011-05-01,61.9837961
2011-06-01,62.0959087
2011-07-01,62.0432889
2011-08-01,62.004546
2011-09-01,62.0956961
2011-10-01,62.0117828
2011-11-01,61.9359567
2011-12-01,61.7239253
2012-01-01,62.0244761
2012-02-01,61.730345
2012-03-01,61.9573869
2012-04-01,61.8101501
2012-05-01,61.948765
2012-06-01,61.7272745
2012-07-01,61.6898821
2012-08-01,61.6425817
2012-09-01,61.741088
2012-10-01,61.6522523
2012-11-01,61.5343493
2012-12-01,61.5080594
2013-01-01,61.7772245
2013-02-01,61.7006383
2013-03-01,61.4149594
2013-04-01,61.5128322
2013-05-01,61.3780433
2013-06-01,61.3683674
2013-07-01,61.2143929
2013-08-01,61.1108774
2013-09-01,61.1489738
2013-10-01,61.0549955
2013-11-01,60.8761118
2013-12-01,60.6523856
2014-01-01,60.7468671
2014-02-01,60.787247
2014-03-01,60.9489684
2014-04-01,60.9256654
2014-05-01,60.7356917
2014-06-01,60.7598971
2014-07-01,60.7669584
2014-08-01,60.6904762
2014-09-01,60.6228078
2014-10-01,60.5338072
2014-11-01,60.4753292
2014-12-01,60.68876
2015-01-01,60.6503229
2015-02-01,60.8978399
2015-03-01,60.9105602
2015-04-01,60.84709
2015-05-01,61.0024353
2015-06-01,60.906137
2015-07-01,61.00033
2015-08-01,60.985511
2015-09-01,60.9686295
2015-10-01,61.3005648
2015-11-01,61.4123093
2015-12-01,61.3974241
2016-01-01,61.3160711
2016-02-01,61.300736
2016-03-01,61.2768648
2016-04-01,61.2380507
2016-05-01,61.1465472
2016-06-01,61.1760136
2016-07-01,61.2510079
2016-08-01,61.0328735
2016-09-01,60.8443017
2016-10-01,60.9350735
2016-11-01,60.9865077
2016-12-01,61.0370147
2017-01-01,61.0163894
2017-02-01,60.920526
2017-03-01,61.1137326
2017-04-01,61.2935502
2017-05-01,61.3517054
2017-06-01,61.4339556
2017-07-01,61.5156046
2017-08-01,61.6955499
2017-09-01,61.7595618
2017-10-01,61.761848
2017-11-01,61.9581955
2017-12-01,62.1145538
2018-01-01,62.1666998
2018-02-01,62.0348836
2018-03-01,61.9796124
2018-04-01,61.9715946
2018-05-01,61.8985277
2018-06-01,62.1662789
2018-07-01,62.0519473
2018-08-01,62.1782661
2018-09-01,62.1350935
2018-10-01,62.254547
2018-11-01,62.3255543
2018-12-01,62.3897794
2019-01-01,62.4176147
2019-02-01,62.3281694
2019-03-01,62.3634122
2019-04-01,62.4343508
2019-05-01,62.5686365
2019-06-01,62.5184444
2019-07-01,62.5564238
2019-08-01,62.6785027
2019-09-01,62.633128
2019-10-01,62.4514576
2019-11-01,62.5349185
2019-12-01,62.6165847
2020-01-01,62.5734772
2020-02-01,62.5668389
2020-03-01,62.4457743
2020-04-01,59.5077024
2020-05-01,58.2076059
2020-06-01,59.2723544
2020-07-01,59.8178805
2020-08-01,60.5817065
2020-09-01,60.3500835
2020-10-01,61.185977
2020-11-01,61.5883614
2020-12-01,61.7990517
